Name                  RAJ2000     DEJ2000    Umag    Bmag    Vmag    Imag    Jmag    Hmag    Ksmag   [3.6]   [4.5]   [5.8]   [8.0]  Class                           
                        deg         deg       mag     mag     mag     mag     mag     mag     mag     mag     mag     mag     mag                                   

[ST92]1-15          084.387627  -69.143303  15.613  16.329  16.028  15.452  99.999  99.999  99.999  14.553  14.495  14.073  99.999  O4 III                          
[ST92]1-20          084.393669  -69.169334  15.788  16.563  16.386  16.255  16.057  15.887  15.673  15.970  15.583  99.999  99.999  O8 III                          
[ST92]1-24          084.402252  -69.175690  13.839  14.632  14.379  13.922  13.607  13.489  13.433  13.337  13.260  99.999  99.999  O9 I                            
Sk -68 135          084.454712  -68.917137  11.338   9.493  11.449  99.999  11.233  11.237  11.165  10.970  10.865  10.801  10.715  ON9.7 Ia+                       
[ST92]1-71          084.458000  -69.174416  13.649  14.619  14.437  14.224  14.014  13.897  13.823  13.724  13.691  13.329  99.999  O3 III(f)                       
[ST92]1-72          084.458420  -69.166641  13.096  13.699  13.840  13.900  13.764  13.716  13.714  13.600  13.618  12.197  10.796  O8 III                          
BAT99-93            084.464100  -69.162800  12.483  13.474  13.446  13.278  13.378  13.356  13.337  13.188  13.104  13.313  99.999  O3 If/WN6                       
[ST92]1-83          084.471626  -69.197472  15.063  14.795  13.879  12.990  12.518  12.180  12.128  11.976  12.046  12.128  99.999  O7 III                          
[ST92]1-93          084.484207  -69.197449  14.388  15.069  14.798  14.239  13.959  13.804  13.792  13.548  13.511  13.238  99.999  O7: If                          
Parker42            084.598793  -69.084320  99.999  99.999  99.999  99.999  12.597  12.633  12.681  12.609  12.599  12.609  99.999  O8 II                           
Sk -68 137          084.602837  -68.875809  12.243  13.274  13.346  13.242  13.261  13.249  13.269  13.312  13.306  13.118  13.400  O2 III(f*)                      
Parker607           084.657219  -69.089172  11.913  12.764  12.046  12.344  13.099  13.110  12.753  12.880  99.999  99.999  99.999  O4 III(f)                       
Parker696           084.663704  -69.131371  15.253  15.843  15.567  15.039  14.728  14.515  14.440  14.462  99.999  99.999  99.999  O9.7 Ib                         
BAT99-104           084.674500  -69.103800  99.999  99.999  99.999  99.999  99.999  13.338  99.999  11.587  99.999  99.999  99.999  O3 If*/WN6                      
Parker909           084.674728  -69.077416  99.999  99.999  99.999  99.999  14.183  14.149  13.481  13.442  12.137  10.678   8.967  O8-9 III:                       
Parker925           084.675980  -69.142311  15.124  15.572  15.185  14.128  13.595  13.310  13.152  12.896  12.835  12.822  99.999  O8 Iaf                          
R136-014            084.677078  -69.104279  99.999  99.999  99.999  99.999  99.999  99.999  99.999  11.563  11.560  11.078  99.999  O3.5 If*                        
[ST92]5-85          084.684586  -69.504974  12.749  13.702  13.700  13.773  13.754  13.798  13.785  13.663  13.698  99.999  99.999  O7.5 I(f)                       
[ST92]5-82          084.691666  -69.476974  12.824  13.794  13.746  13.945  13.919  13.954  13.935  13.907  13.853  14.011  99.999  O6.5 III                        
Parker1423          084.700813  -69.136352  14.384  15.051  15.197  14.490  14.246  14.140  99.999  13.908  13.793  14.057  99.999  O3-4 III(f)                     
[ST92]5-80          084.700874  -69.491409  14.327  15.239  15.297  15.376  15.449  15.516  15.588  15.625  15.677  99.999  99.999  O9 III                          
Parker1459          084.703613  -69.141144  15.549  16.260  16.281  15.802  15.804  15.816  15.587  14.363  13.377  12.294  11.118  O9-B0 II                        
Parker1607          084.719704  -69.112007  13.481  14.132  13.937  13.702  13.807  13.756  13.622  13.589  99.999  99.999  99.999  O6: III:                        
Parker1619          084.720696  -69.129280  13.795  14.467  14.242  13.848  13.707  13.617  13.521  13.460  13.330  13.400  99.999  O8 Ib(f)                        
LH101-5-71          084.733666  -69.499138  12.213  13.294  13.266  13.537  13.661  13.712  13.724  13.743  13.749  99.999  99.999  O4-5 III                        
LH101-5-67          084.742042  -69.503166  12.832  13.955  13.740  14.177  14.218  14.308  14.272  14.269  14.028  99.999  99.999  O9.5 III                        
Parker1969          084.765007  -69.121391  14.531  15.268  15.088  14.618  14.392  14.292  14.241  14.099  14.118  13.966  99.999  O9-B0 III                       
W4-4                084.961250  -69.407806  12.694  13.614  13.639  13.651  99.999  99.999  99.999  13.774  13.675  13.694  13.514  O5 If                           
[ST92]4-74          084.973961  -69.373421  99.999  99.999  99.999  99.999  13.641  13.666  13.703  13.673  13.614  13.561  99.999  O4 If                           
W4-6                084.978790  -69.403000  13.070  13.943  14.150  14.290  14.300  14.358  14.422  14.317  14.353  14.238  99.999  O7 III((f))                     
Sk -69 257          084.994789  -69.734467  11.645  12.442  12.517  12.227  12.645  12.656  12.682  12.635  12.606  12.653  99.999  O9 II                           
W4-12               085.012749  -69.403198  13.027  13.907  13.975  14.080  14.129  14.234  14.195  14.257  14.289  14.331  99.999  O9: III:                        
Sk -71 50           085.179916  -71.483521  12.479  13.142  13.445  13.537  13.729  13.866  13.837  13.804  13.782  13.761  13.844  O6.5 III                        
Sk -69 276          085.390961  -69.561531  99.999  99.999  99.999  99.999  12.776  12.784  12.858  12.842  12.835  12.779  12.887  O9 Ia                           
LH110-11            085.406670  -71.332947  14.727  15.538  15.688  15.769  15.877  15.942  15.931  16.100  16.047  99.999  99.999  O8: III:                        
Sk -70 113          085.749084  -70.698143  12.462  13.271  13.400  13.528  13.716  13.799  13.793  13.803  13.809  13.889  13.776  O9 III                          
Sk -67 250          085.815170  -67.852890  11.314  12.631  12.541  12.781  13.317  13.369  13.479  13.132  13.193  13.053  99.999  O7.5 II(f)                      
BI 272              086.096252  -67.241440  12.163  13.127  13.201  13.524  13.703  13.780  13.813  13.862  13.887  14.131  99.999  O7 II                           
Sk -67 257          086.161835  -67.196136  99.999  13.005  13.186  99.999  13.694  13.791  13.815  13.786  13.842  13.785  13.760  O8 III                          
Sk -67 261          086.313461  -67.171745  11.469  12.288  12.400  12.550  12.702  12.792  12.753  12.780  12.733  12.685  12.703  O8.5 III                        
Sk -68 164          086.910126  -68.019028  12.438  13.272  13.421  13.744  13.933  14.003  14.059  14.104  14.148  14.140  99.999  O9 III                          
Sk -68 166          087.080460  -68.246467  11.706  12.596  12.673  12.877  13.048  13.121  13.152  13.167  13.115  13.074  12.975  O8 II                           
Sk -70 115          087.206879  -70.066055  10.903  12.110  12.166  99.999  12.267  12.297  12.255  12.213  12.172  12.082  12.064  O6.5 III                        
Sk -70 117          087.412544  -70.136887  11.941  12.515  12.466  12.652  13.288  13.363  13.425  13.405  13.439  13.649  13.251  O8 III                          
Sk -68 180          088.980957  -68.229500  12.006  12.813  12.995  13.275  13.299  13.386  13.397  13.370  13.399  13.409  13.408  O6 II(f)                        
